9dc9, c72d
674b, 1e77
fd2e, 8a60
0f45, 72eb
e99b, e9d9
2d71, cee1
6528, 03e8
b955, 1f50
041a, 96fb
2498, 7096
9a6a, 6061
bfd1, 1724
e277, a77e
395c, 2a9a
87f5, 1b18
45f7, a4fa
1ae3, ffed
df87, a5ac
eeb1, 60a2
0cb3, ebc3
adb7, ac07
5e12, f10c
8354, 3219
9bf4, aca7
4115, cad7
6344, c811
2bc8, ce8e
10eb, 818f
5634, 31a6
e6b2, 962c
23e9, a0ea
f1f5, eb9d
7804, 2b36
bc23, 810b
a5bc, 96da
b488, 731a
e330, 452f
aa7e, c272
8f75, feff
5bb6, b95c
217a, f301
b56e, af79
649d, 9811
2c77, f8cd
8f38, c4b3
8f69, 5875
adc7, ec0c
d984, f15d
ca08, f4dc
ddc5, 576e
417e, 9c92
fadd, 5f0c
a4ec, da29
8619, 085d
cc38, cc40
b1be, 4b53
d2f9, 7a41
2a18, ef71
7654, ab90
4049, c696
5764, b863
246a, 26f4
f1c0, 1555
62d8, a899
13f3, e43b
3361, 10a8
09b3, bbc4
fa4a, eb33
89f4, 3bf1
159a, 62f3
4cc4, 4d63
f9f8, a3f3
170f, 8738
1085, c6f9
c567, e5f0
7afd, 21ec
c739, 82f4
a452, b075
014b, b2a9
1022, 3932
a8de, 13b5
d55c, d357
aa6b, 0683
16e5, 54e5
0076, 00c0
7aa5, 7aa8
5509, f0ea
f836, 00de
3c05, 4749
6e74, b21b
abeb, 0d33
b248, cdf3
1410, 1ad8
14e1, b6ea
e8dc, ee83
bb1f, 4a5d
a14c, b4d4
d0f7, ff96
c38e, 8f01
4c33, 1428
