f058, b31a
70dc, f7d2
6282, a188
e31c, 7b36
4ddb, 9e85
d81c, 773b
9c31, a60e
cc2a, 7ceb
d3d6, 5ad6
7285, 1cd3
22f6, 7300
36cf, 29ef
cbca, 2e85
d154, 454e
ca11, 170c
cb75, 2b62
3d90, 246e
ed02, b807
c188, 01b0
9c6b, 6102
3c61, e7f8
20c1, 10e9
8917, fada
010a, 707a
0044, 9e54
b722, 4179
f771, f77e
a67a, 0231
dfb4, cde0
9c72, 2ab6
44e5, 0d55
139b, ff0a
0f01, ff95
c264, d87a
0230, 91ed
3840, 7181
f306, 1fdf
31c3, e8e2
b3fd, 7c08
82d8, b587
9aae, e38d
4161, 7ef1
241b, 4dbf
80df, 6606
eb2c, 6d4e
3d35, 526a
8e50, f7e7
3e7b, ea1a
fd0c, 1942
22d5, c089
c8a9, 57e6
dafb, 6dee
129c, 5261
c0d4, a057
bad8, cb21
7bfb, 0cb7
0091, 2364
9ebe, c867
43fb, bfea
c4d7, d90a
92e5, 8d1d
3761, 73cb
33d0, 5d2b
1e5e, 30ae
8d93, 37b1
4db9, ced6
7bae, 4267
448d, f241
a601, 2294
c84d, f548
27d6, 3dcd
0862, 36fe
bf1f, 16f3
90b6, b36e
3952, 7c54
3607, f3e4
b06a, 4aad
bb4d, 1c6a
0cd6, 42d0
1247, 355a
b97c, 2ac3
c552, dfee
282a, 433b
6b44, 1df3
8eb5, 18ea
0802, 38b7
e4d6, c1f2
41d4, 1b2e
4985, ae89
777f, 6354
1657, d079
777c, 7959
7196, 1840
64fe, c1fc
88a5, a4af
97a8, dde9
514f, a156
b34c, 5b96
f0bc, 4c3b
f9ab, 95f8
4614, 8bdc
ec12, 7326
a215, 6bb6
b57e, f797
c90e, a00f
b5c7, 9878
9c6b, 6102
bd25, 9cd6
6488, 3f82
b6de, 0c6b
4042, d9d4
38a2, cb83
de62, f46d
040e, 2542
a849, 7861
10c3, c33c
6700, 4f74
2f6f, e194
0eff, 61c7
0f8f, 9726
1b79, afc2
cc22, ca18
3c0e, a1c5
3be9, 5b43
2fb1, b251
380e, 52ae
4f67, d3b9
9b4e, d4c1
0f1f, 041e
9183, 3862
da32, 2353
7347, eb0f
7b86, 7f85
525f, 1d9a
5675, 3f7e
48df, 2a2c
2aab, 50b9
7c06, 3e8b
38e5, 9b4a
66fc, 98a3
fa3e, 1608
cc9f, 0027
4b0b, 1d13
0b87, f54e
c61f, c48c
3196, 0f9c
085e, b93f
dee9, 1d0e
a13b, 97c7
0a2f, 621c
e4cc, 715e
a1f8, f1a4
c729, 6cb9
b787, 209a
eae2, 0575
2473, ab29
0b1d, 61dd
a56a, b17b
8e7b, b9ee
8b58, 7923
56e6, 584b
2a60, f760
3ecb, 91f7
6e28, 2a44
dbad, fe89
13bb, 8c21
e93e, bbf2
ff3f, d6ea
88c2, 5853
3ad2, 3880
1d3a, dbc6
3ace, 09a8
6a1e, 8222
bcdc, 29a8
25d3, 7d10
b8a4, b0c7
9da5, 9fe4
9997, 9439
e271, ce75
dd19, 82bc
5be5, bf99
4198, 6557
a7a0, 30a1
1509, 19b1
1438, a60d
7cb6, 3fe8
f6a3, 9b19
e43d, db9d
13d6, 0d34
46b8, 552f
8c6b, 3f9d
48ef, 924c
c7f1, 16cc
090d, 32be
6ac0, af23
9a12, effa
5159, c2d1
0d50, 7b0c
0503, be51
31df, 9d82
fa67, 5b21
6429, 1960
9e31, a568
f477, 043d
081f, 5ef8
7da1, a3d1
1616, e3b5
488c, 44d0
86bb, 9aa6
9317, 4ae4
9947, 7200
a8f7, d273
