b6a1, 6138
89b6, b12b
b7b8, 5b7b
a072, 9c22
b9d9, 984f
ef06, a719
5365, 02b3
86da, 2209
c294, de61
8758, 5dfc
5962, 04b1
95b6, afd4
ac2c, fc00
a3c8, ac93
3f27, ac0d
8457, 6af3
6671, 4176
904b, e28a
491e, c9cd
8774, 3886
b448, 348b
a2cb, eab8
489e, 93da
261d, be43
aed3, 15c7
98eb, 27a4
caa6, 5e0e
3ba3, 2188
5f7a, 9588
8963, ce0d
7dda, 5dc7
f784, 6d21
1aa1, 5b4a
090d, 5563
ea57, e919
f7a8, 356e
23eb, eed7
d8b4, dcdc
f97b, 7ba1
47e7, 965d
967d, 8d93
2cdf, 542a
13d4, c6f2
9760, dd88
9044, 8b53
d30e, 41fa
44f7, 148b
f9e8, abac
ef61, d9c8
3066, 152a
4648, 46ba
cbc0, b598
e7bf, 1f6c
3271, e8d9
9bef, e0f3
8d5f, 6bf2
d3bd, 20c5
a554, d3cb
7cc1, 84a1
41d6, 6af8
5fdc, 55cc
e7eb, c2b5
31d0, 0182
5c29, ce0e
b1b4, 28cf
e51e, 2c46
3199, 3669
5298, e83a
688b, 2ead
85e9, 58d1
9f9a, bbf0
a54a, 3a0e
87d3, b274
bc67, 804a
25aa, 28da
0acf, 5f62
1a2e, 9718
1434, 146c
8439, 0367
9331, 1e45
7071, 8f47
1532, e45b
7404, 81f3
057a, f17e
a246, a370
8d9a, 26df
af0d, 1533
f21d, 6d99
5fc6, 5ff6
afea, 0791
9c14, 17ed
97a7, b0b4
e3ae, 3ea3
9d54, 9a00
aa4a, 46b5
cb15, 7194
3f2a, 6191
a1f3, 210a
6384, 5e84
bd72, 50ab
c77a, d5da
4226, 5f73
f682, 428c
298e, 1d2c
df4f, 6b33
f841, 3d70
0752, 2f5b
43e5, 12f4
b1a5, 2c84
25fa, 6c58
5675, da88
a22d, c0db
ed1b, 5aec
8d3e, 71db
859f, d4f4
373d, 777c
c04e, fc2e
8389, 8b0f
3970, 4466
4fff, 5620
37aa, 25c0
766d, 9697
203b, 0466
a510, df15
3df1, 333a
3afd, 8757
4a26, 3eab
1445, caa2
b13b, 865d
0732, ec67
e18a, b4f4
7a9f, c73a
c4e7, 0de8
deb3, 4523
ac92, 4490
b691, 39cd
97b0, 3fe5
a1f0, 5db1
6003, 3454
f909, d184
2ad0, e457
9e0c, e8e8
416b, af5b
d8a8, 5ff5
46f4, 47e1
aba7, 78e2
28b1, 7013
6218, 8b2f
d948, dfb4
3b1c, 3963
ef85, 918b
7643, 42fb
3a26, b0bf
2212, b0c8
8ab6, acee
23b1, 6582
d4d2, 744c
5468, 1961
67b9, ff06
3823, eefe
c39a, 9e05
f28c, 6b6c
cab2, d14a
9cfe, f12a
1f23, 927a
3d3a, 4991
e182, 10ec
0686, d8db
93e7, 295a
d21f, 6fc5
75fd, 2978
9ea3, 4c31
2738, b3f7
ffe8, ef99
73b7, f0b3
904b, e28a
4ea3, da68
69b8, 54e4
9cff, 6a64
8df6, 9e61
6717, 6145
08a3, bbee
ec90, 311e
975a, b3fb
866d, 2a79
b45d, a852
8026, 8308
3f13, a154
f590, 5b29
0827, 62cd
39d6, ce60
5086, 17db
