110f, 2d54
bcec, 6809
621c, df3a
5880, 9f58
8cf9, 0ba2
fbc5, b762
20f9, 06c8
eab8, c569
d6f5, 16a4
4b83, b7d2
8b91, 66f6
435d, f59c
3180, e177
ab74, cb5e
0942, d3ff
6e40, 3dc9
fc4f, cb52
aeb0, f3b6
4df0, b2bc
8e0a, e9d7
e51b, cda1
4cca, ccca
b23a, 0a5d
4dda, 8c8f
0ea9, 5aab
ca11, b73d
c0df, d1fc
03cc, e579
f274, 7869
3961, 7d4a
0347, 7828
b916, 0f43
f93b, d9ef
62f7, 9c13
50b1, 439a
2dcf, 2618
8e3a, bba7
a5d5, fed5
7b87, f589
adb3, adb4
532c, ba0e
654f, dafe
6e48, 3da7
8255, 885c
bbb5, 6b02
8702, ccbe
8296, 1c8c
614f, 0b35
d085, 3b75
1002, 1003
f9e2, 585d
1333, 13cc
9689, 2b7e
639a, daa3
608c, d434
c53b, 1548
7f39, 6eef
7627, 1d6a
8c5e, 69d3
8c98, fe07
2741, 485d
0068, d4a1
eba0, 480a
79f9, 6386
a861, f5f9
17b0, 7800
17a3, 481e
b61a, 5d4a
1247, c5e0
d202, 25dd
ddab, dfb9
fdd0, 4c92
e116, 1afe
fb34, d804
9c29, 1101
f40d, aa00
7724, b28a
f6df, 4d0f
5552, c74e
f190, 7da3
5ab6, 93e5
9479, 9414
6fb5, 1a13
9619, b6c2
c28d, 4e69
3ff6, 4926
af29, 9ac5
39c7, 7db2
9931, 5dab
4949, b2dc
8ac3, f41d
2550, d03d
eaf4, e76e
12c4, a5cc
9b63, abbe
3fa8, 599c
b80d, 7532
b726, cf1c
7607, 5a09
5239, 3eef
d6e0, 3ee0
50f8, 79b8
45aa, 38e1
852e, ac00
b8b7, 59b9
50cb, e08c
3f18, 7605
5722, 4c9e
1ce7, a4e7
cb08, d16c
17ac, 88f1
dd71, f0f2
a11d, c116
d647, 64e9
a03e, 7074
8712, eb8a
0163, 01b2
ef0f, 6707
4c0a, 36b1
ff1a, e923
be13, 66a5
31be, 5805
9a35, a762
13b6, 6261
ad14, 6b40
e53b, 5256
d08b, 3572
a8d3, 453a
b447, 65e0
7453, 2904
038d, f3f4
03f4, 0ee5
2ad2, d862
768b, 66ac
f47c, 40b5
c359, 92f6
334b, bc3a
8380, aec3
5ea4, 9a1e
255f, e60a
ccee, 3c1e
9f32, 5f0e
aa46, 411d
fe91, 8da9
6e7e, b622
956b, 2ac7
81c4, cc47
cb8b, 7e43
8c71, 96b6
3dc9, 6e40
05f4, daf2
c387, 0e5a
0e31, 8f20
94cc, accf
685a, 53f0
5914, a4d2
0879, 6874
eeba, 4ced
3832, 6930
871a, c88a
c4b6, c21b
263d, a834
266f, 21eb
152d, 6bbc
8a2b, 0eb9
c502, f632
8da5, e549
4aa4, b7de
64ff, f956
7bb7, bb7c
d15f, 339d
dab9, 637e
2810, 987d
845c, 12f8
de7a, 2c80
54ef, 5167
96ac, ba9d
5c08, 0519
7036, 1b5d
2cdc, d3a8
52a2, 28e7
37e6, 9255
5e3a, 5702
bc81, 6c18
3a2d, ccfd
ae22, 4a79
9f21, ce57
5ed1, 2028
b9a8, bbd8
892c, 62ec
62eb, 6fa7
f444, a345
be63, 4649
19b7, f1ab
7738, 337e
cf21, 1d00
8a35, 7b8b
0c37, b636
fa52, d406
0166, 4b7b
2889, 4063
55b1, f9db
e50b, 9578
2011, ef5f
3024, a314
ee95, 147b
61d7, 0bac
784f, 8a8f
61aa, 25fd
75e2, 52fa
206e, 00ee
1d83, 7085
3a3b, 7513
55c2, 7fc0
59bf, b708
6064, 93d3
fbd3, a0b3
48e7, a464
c712, 37e2
5625, 314f
cbd2, aed6
e370, 1a79
c146, 643e
c741, 8791
7a67, faa5
790c, 4db7
e3ad, f9ac
dc5c, 6030
4d7e, 53e4
6b0d, bbb6
c847, adde
2878, f99e
b79a, c3b4
7ed8, c267
6f82, 81dc
5b40, 5fef
3a9c, b02d
d407, b271
dfbe, 1973
46bc, f76b
6a39, dda8
b015, 4c49
c00a, 8b64
14f4, d393
e3dc, 2ed9
8379, 6303
58d5, 4a49
ebe0, df47
7381, 2df6
b21c, 3ecf
dbf2, 5546
46bf, fd6f
020c, fd2c
83a9, f1bc
0e9d, 7c76
4f11, f97c
0cdb, 2dd7
1cdb, 7cbd
bf71, 1eb8
2d8b, 5017
05ee, 0efa
6d30, 3eeb
6825, cc16
dfbe, 1973
5c88, 5322
e562, bcc8
8063, 42b0
6900, 6c3d
b572, 3bde
3c91, 27f8
2280, 56d2
d5c4, 200b
d14d, 4f2b
845c, 12f8
44ba, ec4d
ec29, ee36
fe21, d128
1b18, 8660
9817, 9815
c1a2, 2ea3
efd6, f225
61a8, b8a7
1bf5, 3dcc
9be9, 08d9
e92f, 00a4
a23e, 252a
b241, 20ac
59e0, a6dc
7886, 887c
42ba, 7268
60de, e03e
4ed7, 95d7
6bf5, 254d
cf81, a8fc
4440, e8b7
00fe, 8794
20d2, b74f
d13c, b838
b34a, 0da1
f028, 4cd2
0ee7, 6bb8
2b1a, 1c12
df34, 60ac
231a, 6277
a829, 1928
ae08, f3d7
5a6c, 26c3
5722, 4c9e
1d29, e1b9
37b0, d800
1d74, 7019
6c23, 11f3
1828, 4957
9a25, e453
05e5, 7ef3
928e, a2c3
2841, 4906
6b4d, 32a6
ebf5, 2013
7515, 9608
6b2f, c13a
d7db, c7c5
814e, 561c
4cda, d029
b6ad, 246c
c79e, dea3
b18a, 6c89
76f6, 0ac8
8282, ee81
a60a, f605
39c7, 7db2
4407, 46a1
cb6f, bcf8
111a, a1c4
d2be, 7389
ad89, 4f47
44ae, 11a6
fcd6, b7b0
f59d, d5e2
7f64, 1088
0210, 2737
adaf, 0ed3
98cd, 6595
d501, 3a52
a040, 63bc
eb27, d009
53a5, 8934
5dc3, e9b7
7bf6, 15dc
4197, c50d
1128, ae99
b723, fb01
b87d, c766
1151, ca86
eb05, 557b
805d, 8050
59ba, 842e
6e5a, c7e5
5fa6, 084d
528a, 7b01
4362, 2569
955f, acd5
744a, 8fa5
6265, 46e2
c627, 8d2c
cd25, c74f
68f4, 3bbe
c9a5, 4c6c
d43e, 4a4d
fdcc, 9ea4
78be, c863
860b, 8962
153a, 0a9a
739e, 1a32
bb3b, e4a8
1f25, 7292
f949, 9b37
2981, 39c1
5911, 9edd
5994, f994
c860, ac3e
1601, 6cb1
5453, 3422
6974, fd52
9f42, c251
d758, 0c64
3ea4, f1f0
024d, 77a3
5e95, 97ab
b4e0, 03ef
4ed7, 95d7
7e5f, 45fd
a94d, 2255
c5f1, 1688
0235, 9ef6
b1db, 5d67
b309, 8420
54de, bced
de2b, 6369
b4d1, 634f
36a9, ddcf
613d, d9b0
995c, ad07
3f9f, e4aa
43c0, f21b
616b, a61b
9e22, 9e33
e137, d3cb
f82e, 2793
f69c, 95ca
d65e, f2f1
c953, 6976
47dd, 37dd
28e6, a999
50fd, 2223
6599, 5ea1
955f, acd5
79a4, 89a1
7ca9, 4550
d812, f1e2
a282, 10fb
8736, 182d
4e45, faaa
8190, 23f9
4b03, 9b6e
c862, 8165
4232, 0abd
975a, 2b54
7b1e, cb73
39c0, c965
51db, 0ee9
cb73, 7b1e
2f79, 3474
d8aa, ddfd
a47b, 1721
dde2, e665
6de8, 0b37
8ba6, 7361
0db1, c107
bfb9, 6bee
9d4c, 1437
526f, 972d
99f7, 0caf
83b0, 7ed6
0c82, 8c00
3061, f67d
4a70, da05
4786, d59d
21b8, b2a7
d4d3, 4416
963b, 40eb
b0f5, 3bce
054a, b4e4
09cb, 86d7
9537, ae31
068a, d7ad
48f2, 1775
016c, 54d4
0c5d, 1918
907e, 206f
d802, 6c63
46a7, 3036
0a9f, b322
f33c, a059
5fa1, e256
0183, 2cf3
73f6, 65ea
5987, e4c8
7cf2, 21bb
18c1, 28c1
ca54, d8a2
cce3, d143
a72b, 44dd
2f56, 6e9e
bb96, ecba
42ed, 1691
5cea, 08ec
2d53, 0d0e
