6745, 1042
2655, b399
21d5, 1f85
64e3, a2e0
8c54, 4e90
22b5, 6630
e6c2, 100e
f1ef, 89ea
894a, 9223
8ba4, 7347
4b04, 39af
e7e5, b926
c89b, 7d91
4224, 475d
3012, 93e8
b945, d1ae
0934, 0aa2
5e19, 6bb5
6999, 3337
3291, 6dae
e5eb, e5f1
5cfb, 21d6
1686, 126f
e4ae, 3260
70cc, a56a
4ec0, 9901
e2ae, 2ff4
49aa, 3ceb
cbee, 5788
2286, 6c4f
6643, 8d29
38c5, 80f0
0628, 1752
4978, 80ce
7db0, d686
c7fa, 63d5
cf32, c254
54ba, c2fc
4607, c5fd
ebbb, 8e22
5e9b, 7b98
5568, aa71
5237, 5d9a
7a69, 69a6
edf9, eee6
a3e7, 9ce3
546b, 926d
9732, 9c9e
5f9e, adcb
4fa6, f598
aaa5, 9709
4998, c6de
7179, 0137
699c, 13fb
8ffe, 4670
e335, 3041
7ec7, 68a6
f703, ae2e
58df, 7844
dc8c, 1402
ff5c, cb9e
4377, 2c9a
d41a, 1bf3
d45c, b27e
2e93, fa3f
1ff5, f4d3
8acc, 86cc
bfb2, d63c
e0a7, e663
1a5a, 7f80
6b34, c89d
ee63, dcb9
7dda, 9fb5
c7f9, 4ed6
b48a, 0b3b
3d00, b99e
c061, 7c6d
8f06, 5a9e
a177, 6437
1397, 02d6
242d, 1888
7f19, e0f3
dba6, ec7f
3271, 326b
9049, 3c43
96af, 97ae
13e4, c394
73bb, 8338
f80b, 3539
36c6, 93a9
a410, 9bf7
fe3e, 4cd5
23ad, f652
d978, e0ab
a966, 79c3
cf3e, cee9
5897, 4162
e888, 8300
66d9, 6789
a8fc, bc8c
48ae, 485e
0d96, 3585
c0f0, 071a
f361, ec04
3169, 56e6
e3bb, ad3f
a37f, aace
c1f4, 042b
0318, 59d4
a623, 56e5
c967, 7955
27df, 862e
d1db, 2f2b
b8d5, 1dda
b93e, 35b4
a15f, ce74
3413, 7d10
6809, 0ec7
201a, 23e5
ffab, d434
0bc0, 608c
cb45, 4c00
99d0, 9713
c3c5, aa07
2f34, dec7
25de, 8018
81f8, 2ebf
be50, 1af1
6d8a, c905
3c42, 5ae1
0a4f, 8653
be97, d321
c2c2, 6f74
1931, d608
fae0, 8543
214e, cda3
d285, f119
cdf8, d51b
9d9c, 2faf
a480, 98e3
35f9, fa02
80dc, 8106
8ba2, e171
9a1f, 9611
8dd3, d1e0
dc29, e06b
5b4d, 58b1
dd23, 1129
2da0, f51c
9426, a883
5f4c, d605
f090, 2cca
7042, 0a8f
9e06, 5206
5027, 2495
9251, aa2d
e772, 2a01
8471, 0206
dd74, db0f
8e37, 9e02
9773, aef4
193a, 6fd6
444b, 8d11
8887, 9d24
cf4d, b579
e72d, c3ab
f094, 6894
8cbd, c066
3f7f, 7dba
58e1, b95a
96cb, 5c8c
daf2, 695a
7ee7, 38e3
4e8a, 70a7
9aaa, 306a
e100, 4dbb
77b5, c7d9
c20a, 015a
cd45, 9ccc
b3a1, 3cb6
fe01, e20d
5ea7, 0bcc
6cee, e3a1
8a04, 1b99
bcdd, e912
f605, f14f
07ad, 06d5
a1f8, fbf6
b993, 6842
4628, 09a1
eb11, 824b
9fd2, cea5
6fe7, 98f3
f964, d90d
c06f, c70e
e5b8, 8a12
28bf, 9477
2090, 4c69
5264, 717d
3646, 9529
2ef4, e288
6c69, 5053
79ec, 5bc6
280f, ab65
afc1, 9ba4
a0f6, ae59
80da, e586
780d, 7bd7
be95, d72a
15f8, f028
