ed22, 5652
60c1, d525
eeed, 5e50
e78c, fb6b
5eeb, 0d30
213d, 40f0
7d6f, 1b69
708f, 4649
f420, 637c
3b80, e5f5
f436, 1f52
ab53, 404f
5f4c, a03a
e706, 4993
0e78, f695
6e98, ec1c
ff67, 3626
b7b7, 64cb
71b0, 48e5
c4ec, d3ec
a219, 4c28
7e68, 1267
8ac3, f4a3
319f, 51ff
2e4d, d469
59ad, e4a0
4cff, c6ac
d89d, 29ba
47d6, 29f3
ac83, e945
1676, cb1b
d7d5, ed64
7430, 3acd
00b7, 7465
6da0, 3e4b
536d, b3de
5533, be74
04d2, 2337
35fe, a781
a889, 4c1a
d776, 18bd
e7d0, a810
4c9d, 36fc
f547, 989f
07cc, db0d
a38c, e56b
3d45, b6ad
ca3a, 3732
0b6d, 2263
f737, 5796
117b, 85ee
640d, bde1
27ef, 31ea
852a, af56
64ad, 1fd2
11b2, 8862
d668, 438a
f1c9, a8cf
0bf7, 68fb
3e54, 28b2
8219, 75d5
7188, 408d
af22, 0ed1
be2d, c2ac
af47, 1b23
21e5, ba30
e0e8, 6bd9
06aa, 2dc4
307b, e5f2
8bee, f491
708b, e4fd
eb90, 6580
7cc4, a508
c757, af5f
c931, b496
7292, 24fb
cea9, 5b66
d6c2, 24d1
ec6e, 37b2
1720, 9572
f2d3, 5d2c
a404, 2659
7e83, 6639
f72e, a152
e286, 6b9d
4ac3, 343d
74e8, 8c67
bfb6, a2ef
d1f5, c5e7
6c50, e00a
638f, e7c8
cf6f, 41ea
c36c, 1208
9013, 9ac4
7b1b, b9d8
5b38, fb2b
8823, 2883
70f6, b988
5e49, d792
2082, 0092
f455, b627
80fd, 0a1c
6885, e7f5
e799, edee
0fc9, 02d2
b77b, 0c10
ab7a, dba0
5a1e, 27f5
59b4, 8953
f599, 5828
cfdb, 7460
e626, f96f
6703, a8fc
edf7, 3818
faa8, 16f7
284d, 4831
95dc, a66a
ba3d, fc85
8e2f, 0bc8
d20b, 29b9
1e03, 6a74
f53a, 3a60
7e85, 0a22
3867, fcbd
b881, 6177
4333, c9c7
a576, 99c9
1283, 28e5
5758, b928
d0b3, 274a
ce35, 7833
6e6f, 1391
7dee, 0744
32ac, 6566
6c46, d38c
b242, b519
387a, 7620
fb9d, a0a6
3a29, 0586
030e, 32bb
5e9f, 9d7b
cf22, 9aed
f3d8, c630
ebb0, 5674
3156, 45cb
a7e6, e031
6bae, fd14
1e72, 3006
5795, 5a13
93a7, 06fe
f563, 530c
bf8a, 7eb5
b6ff, 7692
5abe, 2126
de0b, b494
74da, f758
811f, 94c7
a43c, bae2
b55b, 4139
5f1a, e98a
bd4f, 54a2
a571, 756e
c81c, f9e7
a365, f262
87d1, 83a7
5490, 85f2
5318, 98fb
5689, 7643
de9f, 7393
e574, 5519
4c8a, a6d2
387d, 15e7
c2c6, b981
79b0, 8d12
724f, 68fe
935c, e458
54c2, 0775
2c52, 74f5
15b1, 7561
d499, 6e52
3f66, 24f4
a932, 9d12
bb34, 2c23
1d0c, 5fab
2ee3, 5292
5a97, 344c
f05e, 9df9
20a8, f9c2
fe18, 768a
89fd, 095d
c657, 8d51
a353, f252
29d0, fb38
8897, e11f
1ca2, 0a31
7fad, 871d
455c, d75c
30ef, a4da
a79c, 68b3
6143, fcb8
ea8a, aa02
21db, 5ae0
4ef1, b904
629a, 724e
8610, e519
6142, 3b16
4a5c, d37a
a8a3, 5d06
79a5, bf32
4143, 1aa6
ef69, 8d67
197e, a7f3
0cbb, 73fb
0d84, d7a6
f1f6, 23c5
3696, ca9c
fde5, 4b94
c5fb, d64a
07ca, d874
ff3b, 070c
260b, ff96
bacb, 0a42
5ce6, 409b
fb3a, a3e7
d73d, 40ce
23fa, a439
5d7b, b427
a0b9, 11cf
222e, e811
ba00, b163
6a86, db1f
567f, 76ae
c415, ee42
83fa, 7193
61d3, eced
ed47, 26a6
316c, 854d
b5a0, b7e5
6287, d5f9
0150, 01ed
ccd2, 2a1f
8184, c0eb
214f, 374a
86ef, 6b53
50f0, 2332
67a6, b69c
15b3, c28a
de79, 9678
bd6c, 11b4
d36e, 8274
4f23, fe3f
e693, f55d
e0ad, 476c
a35d, 43f1
4ae7, 3213
802e, f084
5902, eabe
a659, 6c09
ac4c, 14cc
7cc6, 6597
dc83, 8c6d
86ca, 4baa
54f7, 3aac
da4d, cf65
87b9, 2890
911f, 8ca7
a24d, 835a
f574, 205d
525d, e427
5caf, e74a
6013, 56b3
eb70, 3292
7be1, cb5c
f9c8, 9e07
cceb, 88e6
68d8, d353
e025, 6bb5
fb4e, 4eab
1dab, 92df
2090, eb4c
6c72, b873
f19e, 75cc
6e2a, c6fe
b3b3, 35bb
5d77, 9d1d
cf95, 1f75
815e, 3f36
0f36, b9e3
d4c9, 2260
953c, ef51
4bcf, 8d32
aa63, 4f02
b6d5, 606e
d088, 0dc1
e065, c3bf
a8e3, 0c7c
3df6, 5355
5966, 89cc
3abd, adfd
ea9d, 8070
1aef, 271d
3be5, 202e
ade7, a419
0d5c, a48f
769a, fd74
fce5, 9133
9fd8, 02df
975f, 6f90
25e9, 59af
