4f72, 97dd
3698, 19f5
862d, cfb3
ecd8, 373f
fb6a, fe0c
e43a, b319
d089, 5c11
5d9b, 8685
f0b6, 85e0
33bf, 1767
cd5c, f57a
c092, 73c2
9865, f2cb
c12b, b2d5
bbaa, be7a
033a, 01dd
33cc, 311e
e8c0, d4a6
f2e8, f52c
bdf0, 7971
8255, 71da
af9d, a192
d00c, d359
4757, 30dc
8bc4, 8d91
422a, 432f
a0f4, a1b2
9d5f, 6a18
5dbb, 0a57
c7e6, ca23
086d, eb98
1ac1, 1fc7
462e, 4f1a
a2c1, 4b4e
030c, 6f8a
4b80, f61b
1045, 455f
5efd, 9df4
6a16, 33c4
b8c8, bf94
a952, a0f0
3f57, 5f39
ff0d, 9276
1dfc, a026
dde3, dad4
8716, 3b03
848d, 0484
ee35, 73d4
4a98, 9406
f88a, f2b6
88cb, 7f39
1c23, b4c7
cb07, d7fb
2736, 7035
862e, 85de
7309, 01ff
53ee, 5131
e1b6, de2c
4d85, df40
13f0, f0da
f288, 1536
0e27, 3dbc
03b5, bbd6
fc1c, 0da1
94aa, 6c5e
9c8b, 7b9d
9b4d, 479a
ddc5, a6a5
bc9b, bd79
7f2a, 079c
66a4, 65cf
b911, 4dea
081b, 8056
3d06, b8f5
47e6, 4b4d
0a6f, 675f
f792, 438a
c8bd, c422
2e04, 5403
9721, ed21
864d, c18c
7897, 7b05
74fb, 372d
fd87, b3fb
0a82, eaca
ed70, e07d
ab97, 9ea9
9418, c4f8
214f, fee8
1c27, 065e
529a, 5896
0cda, 063d
33ab, 487e
d886, d4f5
aabf, e2df
805b, 0717
615e, 0c22
8224, b881
0728, 00b2
8b48, ddc8
719d, 774d
2d72, ee7d
4cc5, a813
05b4, 5028
3c06, 51bb
8dc8, 0dc0
c701, c707
2e16, f614
d043, dd42
5e4a, 82a3
ca93, bfd0
4ab6, 3262
8fbb, f4de
ea99, ad44
c162, c83d
2a61, 2d63
5fa8, 90ef
c1a6, 18ab
5c2f, 5e5b
557f, 404e
2dd3, 2ad1
d14f, 521a
66f8, 439e
d863, 7392
e72d, 7c70
bed2, e42f
66e9, a89b
3b0f, add6
c0cf, be56
85b1, 82d7
