cabe, 9237
80c7, d17f
f611, 48d0
d9f1, d2fa
27fa, 1cc9
46a3, cabd
e95b, a256
b848, fe17
d471, c876
aa7e, fd2f
2bb1, c168
5d83, c5a0
d029, c69c
52e1, b770
d6ed, 4a69
fa6b, da82
76b1, 7c21
3407, 9501
3ded, ba64
5f53, 2c37
aa0a, e45c
18b2, e1e4
fb72, 96c1
e273, 1a33
9fe6, af5e
5233, a306
37bd, e013
1c65, 7a1f
d652, 6fef
51c2, a041
a208, c798
61f8, 698a
449e, 315f
1e8f, 815f
9ad7, 1840
81a3, 5814
9c83, c056
bbf1, 2f82
09e6, b852
a265, 7311
d2e0, 261e
52d8, 19ac
f594, 03b6
2366, 1410
b4f4, a9b6
ab2a, 45fd
1111, 796c
964c, 06e3
2f45, 2703
4df2, 929c
4eef, 4e86
22ee, e612
67bf, eaac
bb7b, 4c0c
3297, 0bb9
1013, 98a3
2e03, 0046
bab6, 7e8d
f3be, 5d27
b896, 5bfe
0ad8, 1805
0b2f, e6a0
2830, 6d3f
4eab, d45d
48c0, adf2
5b49, 59bc
b477, 3e69
7e6d, 0e6e
7b4a, 4342
987a, 68a8
867a, fb2f
ffbe, f2ec
fdc7, dde7
ab1d, ba9c
018c, 0a80
af1d, f302
baf2, 340c
bb5f, df53
eebd, 4894
04bd, 07bb
e520, 81f0
333a, 136b
589f, 87b0
5a4d, 18ce
d82e, dcb9
5c3d, 570b
29fe, 7b07
95d8, a580
325b, 9b48
f631, f36d
c94d, cb4f
e04f, fd1a
d1c6, 0d12
89c9, 6544
722c, 5f8c
8014, cfde
21f0, c987
661f, 61b1
6702, a554
5f63, 2b54
