e3c0, 0c1e
0a73, 61ec
7e5a, 2dd8
1807, 8b32
a7f7, 2d66
401d, 1bec
805e, 0a8a
f06a, 15c7
a208, 7034
36e5, 8053
4bc6, 8917
d85a, 6a75
ed5b, bf01
875a, 6f61
f5b3, c068
bd2c, 0cc7
85e7, a8a7
128e, 7daf
aa76, 6789
a542, 4f06
ad19, c125
2410, 5070
1777, 16aa
751e, ae45
6f4d, 6222
17a8, 72cf
7884, 9453
53b5, f3f3
f000, 4362
7886, 5f40
3684, 72c2
e777, 229b
aa44, 3170
1d87, 297f
229f, b58f
4e62, 9429
458a, f73c
ac76, 9257
b028, eb35
2e04, 5ed6
a4b8, f350
000c, d1ce
48c8, 87b5
97ed, afe9
c801, 3a26
a933, 33b3
099b, 63c2
0e66, e9a8
041c, b352
6953, 6c00
f11d, 700d
c4ad, 6da1
f481, 9ad0
51a9, 513a
86ec, 3a13
2ba4, 10c6
cb22, 399c
4645, b0a8
1a59, 8915
acf5, f2e4
beb0, e9e9
4aa2, 7e57
0f73, a8ce
bada, c149
0b17, 5c23
6b08, fe11
8786, c0ec
c5ae, d83c
13af, 6c43
c8f9, 3b1b
5dc2, b423
3ce9, 7f53
2c09, 7f0f
b50a, c298
7c68, a1af
cec0, 6154
554d, 3022
34e1, 130a
a908, 2b09
9112, 094c
355c, 13ea
9e30, ad03
ec28, eb0a
55a4, 5f58
1699, c482
1bca, f0ad
419b, ed57
d295, f3bc
eff1, d2c4
4f59, e054
06eb, f9a1
3a45, 1eae
c85b, f076
bc92, 9a73
1a6f, 7abe
1a14, 4bb2
29b5, b402
d478, 774f
7487, 4576
060a, cd9b
383c, f49f
87e8, f4c9
5b52, f7d8
153b, d2fe
3025, 16b7
8a72, 8b7e
41dc, a12f
1a68, bc9b
2ee6, f711
c2a5, fea5
c54c, e94b
e8ad, 93b1
d681, 97af
4df8, c8a4
45a8, 0c27
ce95, e2ae
38e7, 3f16
eafd, 0bca
9212, 69e7
bf1a, c486
b36a, d6cf
7915, 5c0f
8a8d, 91f5
245f, 8af3
b39f, e2c0
dee4, f066
4b2d, a4a5
d6ce, 60c1
d044, 7c24
971a, 871e
47f5, 1607
beae, 4a72
f1ab, 15a4
46fe, e2d8
fda8, 3005
fd1c, e9c4
8466, 846c
f8dc, 58e3
8548, e96a
9626, 7f6f
09f0, 2dc3
4ac1, 1759
ee4d, c4d7
65ee, 940f
2f68, d783
f53a, 462f
354a, fff1
0dab, cbcc
a0d1, 9141
487a, b9f2
7723, 5d68
a926, cfa6
1e38, ed68
aeec, af19
e806, 14ae
debd, 8b4e
6ef3, 10a7
8103, b10b
f62a, 8519
4140, b704
929d, 7bd6
3b55, 5053
028e, 4ab6
4617, c04c
e23c, fea8
3a6b, 5b55
fb0a, 5d64
0b53, 9f48
8a57, fa8e
8975, 331f
f495, 5061
4a84, a7bb
4692, 04a0
c98e, f5e4
d853, 6743
741f, 155f
0ba0, 4b4b
c360, 0e17
5390, d2df
f8ae, 4d14
64aa, 1722
9f2d, e5b1
ceb5, be02
1967, 2353
3b13, ea64
258d, 7008
26de, 2493
6437, 00fd
34c2, a93e
d261, ff85
d992, 62a5
62b7, 9792
6989, d5b2
b50f, fc32
25e2, 0765
9c6c, 784e
dc29, c625
3c2c, fd4d
1b83, 3790
9113, 8164
3c10, 5046
982b, a5ba
d746, a5f8
c2f1, 30e0
6076, 5440
4ee3, 54c1
2946, 5621
4e8a, 9693
71f7, 0b02
85d6, 206f
6d0f, 3403
2d78, 354d
89d3, c6aa
7567, 3c65
5f7e, dd6d
4bca, 896c
ba7c, 400d
b776, edbd
8985, c146
f149, 9d79
951f, 776e
e6d4, 1ceb
2c0e, 0ae4
7e17, d3ad
23e9, 9bec
7887, b989
6f5a, 4097
1fa3, a5bd
eaf2, 4115
bd88, 4e45
4cd0, 98d3
da3b, 8090
7dbe, 2527
3169, 2547
74eb, 2b31
912c, bba7
eb03, 70d3
d137, db7f
7c2e, 7349
2cc4, 5dbb
9213, ddcb
035d, a34c
aa2e, 91e5
4ef5, b53f
3616, 5a2e
03e2, fc4b
b412, b68d
07e3, 0c75
219f, 99c6
81b0, 8ab1
436e, cd95
be54, cfd5
9455, 405d
0d71, 81fb
1552, 74de
e123, 3bbe
d092, a642
7853, 3101
aea7, d1b8
6790, 3c47
e25b, f805
fc9b, 0518
40fa, 397b
cb72, cb7b
3806, 6a05
62f8, 319c
e714, 2ff6
35bb, 6100
8fb3, 6afd
47f2, 1fb2
d9d2, 6106
aca3, 5760
110c, e7c1
f56c, 418b
c45f, 977b
2106, b342
4b57, e846
6fa2, 98b3
c145, 04f1
82bb, 82b9
cedb, bd6c
d10b, 2b8d
a793, 37de
92b1, 8af0
e7fd, 66ea
37b0, 3033
d229, b806
4e71, eda1
fdf7, eea2
f1d8, 300e
819d, 34e9
0269, bf81
e8b0, 5132
73c4, 9eba
d5df, 8b4b
5321, 6c13
9ff1, b0f4
3db1, 42ad
59ca, 867b
45e7, 1410
a8c5, 2b3c
97ba, 746c
1377, ea4e
451f, 64ec
c9e9, 337c
c524, 8ad8
9ec2, c86e
1334, 9e71
1fd1, c36a
e7c1, 110c
9038, 99ab
a1ba, f5dc
e3f0, 5faa
f0a4, 69fc
2b59, 183d
d222, 1a9d
2b53, a490
2e6c, f342
0756, 38c9
ed65, 96fc
7bd0, 0192
068f, 4e0a
e76b, 712f
ac4c, 06b2
8482, b7b8
8921, c80f
c7d6, e926
a411, e90c
2700, a4f4
8cf2, f9ef
8ea2, 6b4d
0f47, e051
ed72, b4a7
c94c, e949
9ebf, 9bf5
7700, 9615
24be, 82d6
f08c, 810f
7a39, 02e0
9621, 3946
0f79, 1879
d5f7, 36e3
f8e0, 0441
08a8, 3e0a
8310, 2ec6
bf66, 460a
bd09, 77ba
458c, ce30
d578, e733
0c4f, 5f85
a6b5, 5707
7d7a, 74aa
ae80, bad0
2055, 6832
baa0, 671b
3f40, ead1
aa50, 4fbe
6f45, 5a4e
21bc, 42cb
0915, c297
1d0f, 637e
05a2, 606d
0891, 5ac5
686d, 5a60
ba8f, 0046
e48c, e951
7f29, 84f8
e66d, 0d89
b40d, 0ae8
3e25, 2c89
e8f2, f8c8
ab98, 1d86
b356, 274d
7841, 00fe
682e, 29c3
544f, 71c2
4559, cc65
35c7, 832d
5381, dce2
9b4f, e298
6159, 02be
4489, 9ea0
ee57, e471
e921, a0ff
8f54, 2f7f
9bba, a8f1
63ef, a7aa
9f55, d7a3
7e7e, aea8
d28c, ef64
f602, b01f
c129, 1f9f
8f83, c82e
d874, 1151
0203, 968d
7264, e163
9064, 6236
0bfb, 4c13
872b, 0a57
7c75, e53c
ea80, de8f
07f3, b3f0
a47b, 1461
0c2b, 0d77
16f7, d595
e6ae, 101c
2af9, e16b
6c92, 2865
be87, 9403
4071, b029
6f3e, e26c
f7c2, 65e9
1daa, aecb
7851, 2bde
88c5, 41ba
d058, a5a8
69c9, 3af2
7f68, c521
a764, f817
e4cb, 477b
65d0, d796
1835, d81a
7093, 4095
aa13, 51cd
1902, 712e
3d65, fe92
1a75, c749
c1e1, 6f03
1ade, 52c1
9cb1, d39d
c08c, 8c1d
0e08, d077
ecb5, 79e1
e6db, 1000
d23c, aabf
2a4c, 9405
0a83, f65f
575d, f37f
1453, e90d
159c, a880
b08c, 1c2f
be41, 534f
ab5c, 21b8
ced2, 4a76
4d25, f0d1
9a52, 0e3b
16ec, 9d9a
ba38, 87ce
e994, 18d9
4517, 0507
0edd, 3993
0d22, ba78
cf96, 4817
f1e9, 485a
64df, 9d8c
9fa7, 3098
9e0a, ee49
f3d7, 1ed4
cf52, 99c4
894c, 3424
69b1, dddf
3074, ad0c
b314, afb2
18fb, 00bd
3455, 7ae2
0614, 62fb
6c64, e809
a745, bd8a
c7ca, 3bb2
fe7c, 0329
690a, f97c
3efb, 97d7
a461, 012b
2a87, d71b
3116, b378
dcad, 7b95
6c52, 30c2
9b59, 5e77
7cd8, 59c8
22a3, 96ac
c6ed, 913e
3671, 0cfb
a9b4, 02bf
8999, bfba
d3a0, 7d34
82bb, 82b9
246a, 532e
296a, 367c
32b4, 5b92
19b0, 689b
9960, 96a0
ea00, 8435
8fb6, 6ed0
6ead, 5dc0
2afb, 1750
ddab, 4d07
871e, 971a
e6c5, ddbf
b3af, dac3
dc83, c855
e77f, 9659
d857, af03
e573, 5bd8
7dad, f422
3ccb, 783c
ad43, 4382
4d63, 3c37
3783, bc39
847f, df17
feb0, 0b2c
679e, 1e43
b9d3, 6c36
9628, 0e50
7b8b, ac59
74aa, 7d7a
1259, 5f90
898f, c8d1
6f7f, 0423
5bf1, 5030
2a7c, c9dd
3b8a, 0b16
de0b, 1c28
e31e, d193
8579, 2d5c
1a35, ab92
a620, 749b
d67d, e1fe
94ae, c256
9006, 4f6b
d974, 4dd7
d346, 2f8e
e718, bf48
8bf3, 1e23
a711, b5bd
f75a, 234d
5519, 12ec
2362, b79d
a7f5, 1fe9
be3d, bb53
6f89, 77e4
5ede, 4477
5683, 922a
f22e, d721
461c, cfde
749e, 1a79
f27f, 21d3
469a, eccf
4030, a4dc
1483, bde0
b4cc, 51e8
402a, f07f
38f7, 760c
5405, 0d06
720c, 4179
df61, b493
ea6e, 132e
183f, f122
cd15, 366c
ef98, 4fa9
f8fe, e2b7
66fd, 2159
0789, 40dd
c547, 0b7f
55d5, bcf7
0f9e, 4a39
8055, 91dd
563a, 7c74
f0e8, a356
b09d, 4d6f
6a6b, 88d4
4bf0, 780d
9ac3, f432
c23e, 5bb7
14fd, c4b0
b4ce, 1e0b
932a, 238a
7850, f118
cd0d, 0cb2
ebef, 59fb
8ae2, 8991
5af5, 7252
8bda, 7b5d
b47a, 7e69
3b64, 9734
bcda, 8c80
ab45, 92ff
2f01, 6eef
286b, 4099
8e2b, d559
6c48, 08cf
402e, 53e3
7045, 253c
a7b8, 8dfb
a770, 2f5e
704d, e7ec
b9d0, b9df
84c7, a1a1
7b96, a4a2
9f58, 03cd
8e26, 3ce6
5eb8, 87bc
ee17, 2174
b1e3, 79c5
5dc0, 6ead
15f8, 1561
44d9, af4c
aee6, f8a8
f9b9, dddb
3683, b722
f3d6, b425
7c09, d358
a1a4, a1ab
3831, 6d2b
3e98, bbd4
23e9, 9bec
f278, ff03
fc8f, 7d27
1099, bf64
fa41, fdd5
53ea, 2c86
258a, acbd
98a7, c6fd
e505, 0081
7866, baa6
6775, 3e02
36f0, e3bc
c3f0, 781a
1eb6, a4fa
6d80, a0fa
26b0, 0345
ec01, 89cc
229b, e777
65d5, edd0
fbe1, 2f1d
0267, 2a30
6d2d, c6ad
c990, 94b1
162e, 1885
266b, 386d
d773, 31fe
9ce3, bd69
9487, eb96
ae86, 925b
5869, d16e
2e3f, 07a7
aa7a, 1f69
c07a, 0dda
9a65, 7d8d
39e9, 545e
43f4, 09f1
afd1, a216
8a76, f1d2
86bb, 164b
7f16, 1007
587b, c1a7
cba3, 4b01
c91a, ff81
c8f7, 194d
21d7, b492
1d2e, ca69
842e, 77ee
0b6a, ceca
da68, 536f
241c, f73f
04e2, 32a4
bf1b, 09b6
48b9, d1f4
9026, 7044
e5ac, 904e
a98e, 3156
e926, c7d6
8723, 1cbe
2aa3, 6e25
f72e, 58d9
2434, 5fbd
a5b8, d5a1
b743, 4d47
066b, 16cb
fa74, 009c
15a8, e643
42df, 3d45
42e5, ae89
b258, 1345
26ed, 335d
6c4f, 4733
c0af, 457c
0a5d, cec8
ff55, 3c06
24b3, d6e3
e18d, fe51
c90e, 4d9f
df30, 9cbc
3b37, 2498
9977, ff58
d683, d2d3
1212, 7fdb
a67e, 8058
b620, aea9
7c50, d777
b073, 1630
790f, cce9
1932, 2250
9658, e82c
31ff, 4368
dc1a, 06d8
5b23, c931
ecc1, af4e
33ec, ca87
9705, e9df
a684, d4c6
4c40, 14bb
75ff, 9750
81af, b30a
0a67, b1bb
8331, e46e
ee47, 03b8
a4de, 78ee
887a, 9fce
ff18, 66ee
86cd, cd1f
1773, bc9e
c183, 24f3
7057, fd65
fac7, 81b8
26a4, db70
5894, aaf7
91ce, ee09
77b0, bd06
ecb3, f201
d276, 10af
5fb9, d621
a353, 8f14
6602, 657e
fddf, cdfc
1c12, 87d6
e94b, c54c
cb7d, c455
d570, c666
16e8, 37b9
8d3a, b03f
7757, ad1c
2271, 6bae
ce51, 05e5
c54d, 258e
5bfd, 179c
13db, b54a
2f9e, 20d8
2514, a2d6
413b, 1a10
138a, c436
c73c, 7e1d
f69c, 83ae
7bc3, aff2
f3b0, 3526
6c77, f940
c79a, 4eeb
c2a0, 67c6
94de, ba9b
c361, c271
ba54, b198
902c, ea7d
055e, 0c24
78ee, a4de
7e25, 2ded
22a2, aa5b
7a5a, 1d34
4f0b, fcfe
7c0e, 5eff
b0a2, c6a1
3173, 568b
2f27, 4f33
3271, d940
9bd8, 43cd
1ffd, 20da
8f98, d986
b7f5, 891d
e8d2, dbe4
f77b, 725e
f4ef, 5b43
54ef, 426e
ae12, e403
caaa, c973
a8db, a96b
81ff, 1e41
c90c, 5e98
8bc7, 5a88
adb6, 3c0d
1a7d, 0045
b151, 3cc8
c2ed, 5d0f
4e79, 3e84
5162, f493
bb8f, 789d
3346, 67e7
84c1, a029
c385, bcb8
8b27, 56a0
e27b, 49e1
12f8, 3124
c813, 6255
bf4e, 3eeb
2a5e, b025
26ba, 9546
6ee6, 0ea8
3520, c5bc
b916, 938a
2172, 393c
9c46, 73f2
3c2f, fbcb
454d, d063
0702, 52de
9023, 195c
7d22, 0aa9
1bed, 6103
d692, ef8f
eb3d, 90c3
6643, b14c
b97b, 4225
e5ce, d2b5
ece6, f3e2
d6f3, bc84
3d7d, 9cd4
967e, 720b
dbca, 639e
431f, b9cd
66ad, ca42
9587, 28ef
271d, 95ab
9a8c, 74ec
b2fb, b02a
8b4d, 0353
2e62, 980c
da46, 8ebc
c275, a95b
5baa, 0832
eba2, c11b
2118, 20ae
d156, d2f9
ffd4, 3456
e8a5, 3c7f
2364, 7703
1f82, fc2f
ed4e, 9d31
e2ef, 9f3f
4e67, ea83
4dac, 13e2
164d, 82bd
a8ad, 4493
3567, 5066
0c05, c9f8
7350, 3a25
4143, bbdf
7bb9, 94a2
d675, 9034
7970, d179
7f32, 79da
b327, 773a
869a, 6a2c
b537, ea96
8b18, aa48
1deb, 275b
81f4, af94
acf2, da1f
d44d, e4fe
a22d, 453a
7557, b8f9
95ad, 2994
aff9, 6122
7127, f48a
97e3, 96be
5e0f, d784
6ec5, 25eb
6300, b320
7f1a, 669f
ed9a, fde9
036f, fc56
7e12, 091e
5a08, 32b8
0609, 6567
29ea, 8be6
6106, d9d2
1381, 0356
c5db, c25a
1073, f3f5
1b47, cf55
4077, 08ef
5e4e, 9482
d229, b806
e9d7, 840a
8ce5, cbc3
5b73, 7204
d6ca, bd78
64a7, 95ce
0e6b, 8db7
4590, e06f
1e69, 0b20
5bf7, 1840
a391, 6632
7b47, 44f4
295c, 1f5e
ba8d, 52f8
ba49, 3090
c222, 8488
b979, 451b
