95d2, aab0
54da, 05eb
6df8, ff91
00b1, 2fc1
9708, 1872
78b9, ff54
c3d5, f31e
6a94, c6e8
8e00, 7459
6140, d89d
ed2c, ca99
bd94, 73fc
545c, 9411
670f, e2fe
9f3e, 9f6c
d603, 1401
b440, 66e3
11e0, 74da
2a20, 1195
a42c, 9d38
b912, c348
70a9, 357c
1cf3, a850
dbe1, 3665
09a0, aa14
3762, df08
f2db, de8a
2972, 12ae
20ff, cb52
d60c, f7fa
f47d, 18d0
d8e2, d288
3690, 3ed9
98f4, 0a46
4256, 2b26
a3ea, 624f
dd43, e8ed
fd93, 6ff7
43f6, b6ea
6119, 8ad1
430e, b77e
d17c, a3d1
b2bb, 8c80
b112, b3b9
a622, 9067
397e, 3987
c620, adcd
69b1, b68b
2954, 5cd2
2fa9, e2dc
7fda, 0d87
7283, fe79
bafb, e142
6248, fc4b
358b, 881c
e271, 68ea
f8df, b4a0
c1bb, 2139
27c4, 6de9
40a0, abc3
7076, a12d
3dd5, ac3a
13fa, a5e2
e4a4, 118c
a2bb, f647
271a, 1c25
8f36, 1e28
1d70, 9466
f955, c3ec
82e5, 6538
e16e, 69b3
5ad7, 045b
c5ce, cfe7
000a, c397
1186, 44d7
7521, e918
49be, 2446
9d21, 1a64
e828, 38b6
35bb, 4ef0
474f, 81a9
8107, 3da7
8180, 9104
4448, 636b
5bc9, 094c
3f97, 3d83
0003, 44ad
9879, 4ad7
6803, 7761
d103, e4d6
d3ee, fd02
6614, b94d
0819, 1db7
e24f, e242
4795, fc6f
923f, 6a16
f064, f0b4
cb9a, aa7c
ff97, bfa2
2631, ea1f
fac5, 7a0f
6e80, b4ce
1b94, 071f
95ec, a6c9
c18d, dee2
9170, 7106
3590, 1c51
4bcb, 6677
9ade, 7d8f
35d6, b942
cdea, 8273
5169, b94f
cd2a, ab1e
8cd5, fe62
5ad5, 2637
3347, 69ca
1ad4, a2fb
0b35, 722c
38cd, 94c4
ec23, a0f7
a4f0, 9cc0
8bee, fa8f
3a78, bf31
2d68, 8598
fc85, 178b
f598, 986e
62f0, fbcd
937f, 0fc4
f108, f583
2646, cd9e
d499, 0072
9344, c379
8173, 1c5d
7675, 002d
52cc, befd
1c77, 2cc9
2285, 9b56
1754, af6d
7fc6, 054c
8ff0, 6367
1a15, 09fd
54f3, 1792
7378, 77e3
49c9, ce85
a317, 3514
df03, af03
3bd2, aad7
abb2, 27a6
1cbf, f80f
bddb, 8411
1e3d, a06b
1a96, 0ae3
49e3, 1f09
7d74, 5f72
9ac3, d31b
b9a2, 58ba
bcab, 5c6e
2554, 9cfd
1d0f, a5a7
3cd8, 8c30
1c89, c2de
7246, 39cc
371d, 7fc7
6951, 1122
ed8e, 75a4
eaa6, 6d51
06cd, 6971
71e0, 0e12
d987, 3d49
a339, 5e15
926a, 6c4b
8720, f524
7d14, d7c7
3d66, 4e06
b0c9, 8828
7568, 378d
1971, a643
f532, 213f
ee4b, 1fc5
14cf, 8765
d5c1, 74b5
8440, a03f
f3a6, 83f6
efba, 8ce4
523a, d098
b4c7, 3275
463d, 4e35
931a, ebb0
c7ce, c0e5
6b2f, 515a
f166, dc11
1cec, 6b91
d4c6, cba0
30bc, 6dbd
efd3, dca7
e1ce, c2bc
7a22, f426
c5ec, 397d
d249, 2cf6
4485, 9984
c05d, 02aa
0110, 5ab4
660a, 3980
2a23, 9338
9a78, 7f90
a8dc, cb0b
afc5, d534
245a, f4e4
c617, e320
1d53, 555d
689e, c059
d36c, 2bfa
0c2c, 3b04
4264, 12ad
1b59, 0e5a
2f0a, d608
ae84, 6c61
90f1, 44f8
a73d, 8dfa
e47b, 5fac
e4f5, c04e
eb3c, 7b79
3c03, db6d
871e, b1fb
8434, 8fbc
f876, e8a6
121d, 9131
eaf6, b6d1
99ab, d635
245e, 5ef4
d036, aed1
e703, 2bfe
af5a, 3a6e
d4de, 63d3
17cd, 6e20
dac2, fa48
e75c, 4226
9a32, b304
4224, 4da0
34e0, 4050
d99a, 47ee
ebbf, 14c9
02c3, 2f98
6b8c, bb07
3593, ad3e
47b3, ca61
7690, 3e9e
e585, 7a3c
5aae, 6b4e
f468, 4006
173c, 73cc
beba, 66a6
de22, d68c
f928, fc7b
5c9b, 6fbb
27e2, 16da
c2cf, 6aee
7001, 5309
1314, 48ee
336f, 2a4b
989a, fc7d
f0dc, cdce
747e, 8569
478d, ed16
73b2, df4a
0833, cd5c
bbc2, d21d
e258, 6968
06fe, 4cd3
b129, 9965
fc0c, 2208
9921, fbb8
e19e, ecdf
25db, a322
2fde, 3259
b5a2, ca84
5112, 4f3d
b8bf, dd7e
27f4, 09a8
3766, ecc4
ac2f, fd79
6b90, 53f5
5281, 1d4b
ae73, ac9a
9adf, 1a19
e7e7, 47e1
1038, ad60
25c9, ef28
ae67, 9666
cefa, c62c
3b5f, 5fe6
1cd2, 958b
cab2, 9c65
1a30, 19b1
ec56, 3120
9e94, d2f9
f8a4, b4da
12c0, 67fc
c04f, 9e50
da87, 43e8
710a, 575f
70e7, 8516
7f57, 0cdf
6684, 117a
b09a, 6b4a
839e, 3f34
b04f, 5b9e
8b21, a9ca
f901, 95d5
4cef, af2d
2adc, 3a65
50b3, 2086
18df, f903
f1b5, 017f
955a, a55a
5716, 790e
2ab3, 48d9
4d5d, 2aa7
150b, 3bc3
f6d3, 089b
0058, 2064
8d8e, 2b33
6053, bbe3
0436, be53
4dd6, dcd5
33c6, 0828
0963, 5064
9e7c, b7f3
8869, a446
fca6, 2e56
b761, 21a2
69e9, 2c6a
73b5, 7e6f
80f0, bf2b
f014, 4f68
c0f0, 09bf
6b7b, b07c
9b74, 1365
6f20, 4d14
8922, 7c11
8bc2, fc90
cb79, 00a5
7b13, f416
65e1, 3b33
0367, 333f
a4dc, fa68
7b3a, 5ac5
6329, ed8f
6487, 49af
0d71, 369d
1152, 41e9
1306, 1adb
a30c, efbe
3205, fa87
b887, 55ce
e245, b6e4
c6c1, 7e83
3688, 8f47
1115, cc05
ea6c, 79ed
408f, 62e6
1704, acc7
a70b, f1c8
b4b9, 5927
bbfc, c8ad
f986, c75d
5f89, a463
df36, 5679
910e, 6e2a
9e12, 1b49
40e7, 59dc
c6e7, 254e
c928, 8089
4100, caa7
456e, de17
32b2, dab3
