a56a, d5b2
7d93, 17c0
a91b, b04e
16bf, 82fc
a858, 44c5
1c5e, d3f6
3dda, 9d83
90c3, d6c8
e8bf, 4218
fa8c, d15e
48ec, 4598
db5a, 7926
cba2, 349d
d83b, 285b
80fc, 5b4c
fbf2, fbdd
66e2, ad88
269e, 9b4e
430b, e2d5
e0c8, 36c3
308c, 0341
7986, 5e60
d3ac, 9c89
813f, 0a52
67a2, 1ed4
e671, 49cf
ce09, 1b94
cb6d, 59c3
d5e1, 79fa
4117, a5f9
91e0, d5e0
282a, a62f
cc65, 4316
3b6b, 3eb5
59fa, 82c9
ef33, 9c28
5f0b, 1b3b
b1c0, c6cd
8ab3, 5cb3
6a93, 622d
e02a, 721f
dc65, ed9d
7474, 250a
5799, 87f9
e150, a2dc
06dc, bb1a
1077, 7830
50fc, 80c5
983b, 27f0
5da4, e6a1
87f1, 1181
a42e, 0e78
b066, 5c27
6f2e, 6268
e09d, 3690
1d13, 8410
80c6, 196d
b24a, d534
c1a4, e038
bcf0, 81af
a2a3, 2b37
fa97, 3c33
9a76, 2512
89c4, 5cf6
a9ff, e078
c5c8, 99c5
6ccb, 81c5
6d36, 4c21
9b20, 1d08
8581, 14a1
3f43, 949f
7d62, 6a79
86c7, 3513
76f9, 39b2
8587, dce1
488f, b4d3
0e61, f22a
7ca6, 1c36
37e1, bce1
a1ea, f838
ce7e, 0d21
fe49, ad44
7af6, a4d1
44b0, 29b0
8d6d, 17a2
4090, 9b43
0bec, 2069
46f6, d7ce
44cb, 98be
54ed, 77be
1843, 3dfd
8c55, ec8e
2738, c0fd
a4ff, f2f6
f18f, c35c
9a9d, 144d
de24, 1ab8
90a3, 8498
0862, 1eb8
7ec0, 046c
fa84, 9abb
8246, 5ef2
544b, eb74
7ffe, a9e3
4fc2, 9863
9264, abbe
b9bd, 7260
d133, 754a
4e1f, f3ff
bae0, 833f
7797, 1a16
5351, d2fc
4fe8, e98f
444c, f54c
5778, 50a0
85e5, c191
e2b8, 0ec6
c3ff, de1f
4928, 7d23
7de4, 6b54
70a5, 7019
3fab, 38de
57e5, b9ab
6076, 39de
b8bc, 6225
7f95, c58b
56c2, 8b42
8009, 5c6e
20f3, 7224
1f93, 3d18
f855, 15e4
fc75, b07e
1d54, 845a
7513, a954
bb27, f7be
b116, 28bc
1c42, 55a1
6208, 32f8
a8a5, 2ee4
f496, 35b5
9ed0, 10d3
32ff, c84e
f9f8, ff92
7ea4, 08b7
0a40, bfeb
c8cb, 8191
5fe4, 9e50
a336, 4306
b98b, 1331
aebb, 67b7
9ffd, b81f
a21d, d882
60d7, 90de
1beb, 9e5b
397f, 88bf
4ddd, 3d67
29a1, 41ef
1b54, 9e39
a319, 11e5
b432, 5a7e
eef9, 21de
a917, b3d1
95a2, 759c
c504, 8a53
1725, 1fd1
e256, 2885
4f9c, fd2c
d763, 8979
9b12, 826f
2721, 9003
510a, 5547
bf1b, 848e
2613, 4d15
d229, d8b6
6ff3, bf56
02c7, 6727
2dc0, a890
dd71, 5997
bbd2, d8db
2cc0, 3f8a
a279, c636
19de, 6340
8b15, 7802
9cce, 36de
c028, 592d
e4a5, 9efb
6c52, 3cd7
c2d7, 05f9
336f, 5fce
bc51, 89e7
25f9, c424
2e29, 23c7
cf4f, 1097
4979, 39a6
d171, ad85
21b4, ada3
ffba, b4bf
1bef, 6ce3
16ab, 96a5
5e6e, cdbf
1089, 4e87
32bb, d5cf
