bf9d, eb4a
a39e, e578
5562, b77d
642e, 0124
dfa4, d1eb
20af, 9faf
a293, 2f34
f2ae, 00a4
eb0e, ba3d
1253, 92c8
2813, 26cc
23d3, 24f7
99eb, 4905
3ef1, a0d1
38f7, f129
987f, 5f1e
83ba, dce6
c9c7, 725a
38a2, 72a9
418d, d364
1cb5, 9c5d
ebaa, 9f7d
48f7, 4bbb
afa9, 1ee4
be30, 7a93
f59a, 0988
7842, 1e89
0c55, 97cd
cff5, 7435
11fb, 41e2
1f51, 135c
68f4, c1f8
78d9, f4a3
8746, 7423
700c, e347
04d3, c527
cf3e, 1306
7293, dfa3
7ddf, d7d5
50a9, aec5
e7c5, 3a2b
89bc, 4c40
70f1, d026
3f24, 9411
2cb7, 56e2
97ee, c82d
2a85, fe1c
45a5, 3662
695d, bb35
1923, 15da
b99e, 8cc2
a593, 304e
70d0, 8f1f
fdce, 54a7
91ad, cece
9911, 634f
88e0, 7180
92ec, 7d41
3c73, 38e5
7d58, ae72
6274, 2185
c27b, 4050
364f, 0c41
dcee, 4648
75c5, 10cf
6bb4, 436e
2334, 0302
a79d, aada
f269, 3c72
8b8a, 14e1
1943, a581
7a53, 189c
c091, 2f60
7636, 2a61
8fa3, d4b6
748e, b8ee
da94, ee99
3af8, b705
3f78, d866
37ab, be47
fdab, 4a16
e64f, 83dc
8175, 641d
9918, 3cd8
527a, 0a42
a902, d239
2b07, b48c
629f, c180
f313, e8e6
1d17, 767d
5d04, 7c6e
f65b, cf92
e75f, 8fef
3931, 3236
e2fe, 43e2
6e29, f8fb
42eb, 7691
7523, 4c2a
bf57, 22c1
d362, 5ec2
f448, c9e3
4f32, 805d
d7fa, aa81
10bf, 078c
8254, 2eaf
ecb6, 81fd
e63b, 8998
280d, 5a6b
c009, 6508
06b9, ad35
9dd7, 23df
b2f9, b736
563e, 0078
2dc6, dbb8
6391, 905f
71d8, 0f7c
c0f9, b36c
6067, 390e
e8da, c623
9569, ffa8
f197, 340b
9f90, f7d3
f3fc, f88b
4f62, bdde
2beb, 120e
8c77, b379
b926, 2678
b0e3, 45da
8af3, e11a
de43, e255
2961, c69a
234a, e84c
ccba, aa77
3ff0, 9cdc
8659, 42a4
d5ff, 3761
2c9e, 26a4
43d7, 8f1b
5056, 0898
13ca, 7095
6519, 6d23
741c, 895f
273d, 3d7b
0329, f229
22c0, f00a
f781, fdff
7608, f3e1
1c65, d270
40e6, e311
446a, 4d03
32fc, 20da
5fd7, f89c
5fc6, df57
0e92, 11dd
8a28, a209
371a, 2ae3
dbe3, ac31
d03e, 5a44
4b23, cc21
b651, e93a
1245, 85d3
2e00, cc44
362e, 333f
e499, 2c68
26ad, 5c59
9947, 9989
58d9, d2de
fbba, cb41
137f, 8f95
8ef5, c2b3
09d1, 5f83
0311, 59e3
330b, 8faf
0bb4, acbd
6215, c08f
4762, 4a7d
d7a7, a10b
4bf4, e96d
b6fd, a084
3960, b609
2094, c9a7
d072, 5d29
3456, 5e55
36c6, 9fc6
223a, ad09
8f06, f92e
dab8, 4e2b
034b, 6247
0c3b, 6634
0775, 99f7
0700, ca76
fdaa, 48d8
8e1c, 6026
989e, 3988
50cc, 9b54
73f8, a190
2ae1, c71c
39e1, 2ff0
0fba, da82
7d7f, abc6
b278, 76dc
1065, 3639
4a1a, 26bc
b053, 13c1
fec4, 240e
fff1, fa2d
440f, 8bcf
c663, c3cc
80d6, 6405
901e, e3b6
e3b8, d2a5
2a7a, 31cc
fb64, fb68
4202, 1259
f056, 00a0
7d5c, 0748
fba6, 028d
320d, 2307
1412, 4784
51dc, cd25
aebf, ca08
b8bc, e7e6
2a4d, d538
f215, fce6
a2cf, d23f
d07c, e5d4
9891, 580c
b314, b217
6a71, bf54
fa0b, 9159
61d3, f4f1
2048, f9db
5d4f, 9e10
3b47, a97b
8142, bbfb
770d, 6969
f21f, f2bf
098e, 36d2
4e7d, 1a62
62e5, 332c
5b72, 3a3b
f112, d32e
77a0, 4b9c
8171, ebca
af2c, 8910
5a77, 33e4
cb28, f1d2
d278, fe8b
8008, 4d84
d2b2, d212
3c3a, 5c2e
b9d9, c0e3
c75b, 2faa
9836, 5703
eb0d, 8409
6977, 785a
d1ed, e6a2
5694, c652
b22b, 73b4
66de, 2ceb
42dd, 4fb4
f80e, 32a6
5dae, 97a8
4adc, 8efa
469b, d24f
3721, c254
022b, cfd4
f445, 28f1
6943, 2fd1
ce43, bc1a
e40d, b759
4a6c, 53c4
6495, c406
e829, 48b2
f6a1, 0c66
92f1, 501a
db85, adfa
1202, 76f1
57d0, 9df5
f0ac, c06f
09f0, b5d7
99a4, 2692
d6f9, ec88
6288, 8980
0a91, 42e9
441e, 601c
fe2f, cad1
e0ae, 7f92
9146, 5e1a
ffa9, 302e
d636, dca0
b2cb, a5ea
828f, 80b3
7c16, e62c
bf1d, b917
c8c7, 2838
8aed, 88dd
fdf6, 3b4c
038c, c0ba
e705, 8516
d5aa, 4055
9384, 6647
25e2, 90db
e6f3, a7cc
d703, 34e9
d809, 419d
817f, a9ef
7cf8, 1689
851d, e06a
24f9, 85d8
55e5, c6f0
b183, b8d6
e496, daa3
617c, 3ed6
081e, 429d
f00b, 4474
da32, aac2
33e0, 3cd1
a503, 7536
b15f, f39d
c235, b074
1bb3, 470b
e231, d200
279d, 11f5
be94, b4a8
c539, 2d1a
1bec, d48a
3bf1, f810
51ad, c877
469e, e27b
505e, 3267
ab06, ba03
7a0a, 745f
ed4e, 7af4
6bb0, ca40
79ac, a3c0
51be, 30d5
651a, 2465
92cd, 76a5
2e18, e730
c6d7, 6a7d
01f7, 27bd
e553, 4ccc
3666, 9783
1cda, d323
d330, 1591
006e, 35cb
f105, 516a
9043, 6c8c
b030, bae1
1c84, b68b
df10, 8c45
b936, 8410
0761, 9103
888b, 81b7
f1aa, 2ec3
16af, 3ca7
cb31, 0190
9603, 1078
3678, e313
5cec, 20f1
1e5b, aecb
d0d5, a964
db1f, 4afc
b331, 19e4
7306, b20f
720b, b923
1f12, 22eb
800d, e129
0c01, 14ad
dd96, 8e7a
4896, daa5
58ee, 5d8d
7187, 1dfb
7bd1, 7b98
971b, 3f11
1fa7, 87bd
53a3, 9565
124d, 19e7
4fcb, e59b
544d, 6bd8
2736, aebd
38da, 10f3
f997, 6692
537d, 3509
f879, 3e9e
be01, 1801
1cd4, 7da1
8185, bdfa
68fb, 8bf1
ec27, 862b
6fbd, 96d4
5ea7, 0600
4d56, e4c0
665a, 03f8
063a, 58cb
26cf, 53a5
2c7e, 2952
6eb0, 5afc
d0be, 0706
1c0c, 8391
c857, 02af
a8a6, 03c8
5def, 94bc
9c35, 5f06
47d7, 190e
8c10, a241
6a91, 3403
1e1e, dadb
e85d, 4167
8b87, 41b8
82bf, 38a5
c539, 2d1a
ba6e, db92
1f9f, 29c8
6fd0, 3986
2d67, fe74
dd22, 872b
8802, 6b14
8f78, 1667
d9df, ba7a
5f00, f71e
a602, 0eb8
eeba, fc1f
a27e, 174d
e15b, 18f1
c0f2, b260
8c79, b20e
5515, dda6
3c61, c2c3
a1f8, 14d9
ad55, ae01
91f3, 2fbd
204d, 1c1f
61a9, 319b
5af5, c7fa
77d3, bdf6
fda1, 0170
800d, e129
9dca, b6f8
24b1, 21f5
88ef, b425
e1dc, ee4a
02cc, 5a13
0288, ca60
bca8, 5b94
0561, 6c00
ac39, 0ede
ce37, c36f
87b8, d357
0919, 0b52
c475, e7e4
b158, cef7
23fb, 21c4
14b9, f773
4057, 8009
96bc, 2521
f2e9, c94e
fdac, a784
1be1, e880
1a80, 8bf5
d2ac, ba63
f2e5, 3321
1c82, 5d61
0007, 6504
6e13, 6d67
bc5d, 43cd
eed2, e839
de12, 1a1e
98b6, 51d3
eb2d, e7f7
cd6b, a661
2a43, 94b1
50c8, da79
a2d5, d39d
459f, 4561
e5f5, dcfa
ebc2, 7e77
24b2, 2e1e
2b94, 26a3
f9c5, 9c65
fcda, 1170
afdd, af27
bd36, f977
9507, 869a
5940, dff7
7552, bcc2
f20b, 6934
f46d, ab8f
ee2f, 2eb2
a2a6, 4f55
57ff, 9ad5
db88, fa31
fda0, 2ea6
1ea1, e5ed
14dc, adef
340d, 3452
020f, 2555
2dcc, fb33
ea24, ee4b
bc40, 4615
c1ea, c7f5
5a13, 02cc
13f1, 158f
3394, d87f
f727, 3b29
f0eb, 9a52
89a1, b6a6
91ec, f145
3eb8, 31b4
144c, 9e6e
a42f, de85
d068, 9623
08b5, 3200
d7b6, 1178
18d4, 87fe
4390, da11
243e, 5d02
7701, 7d95
1832, ee78
972e, 248d
eaac, ac18
cc78, 3002
1fa7, 87bd
82a7, dcce
2ed7, 0bed
0b35, 015f
0ebf, cd6c
9480, 5276
f9be, df3f
4c30, 5057
4bfe, b7b7
247f, ca6a
e139, 7ac2
e13d, 480e
9c34, cfc4
4904, 3465
5026, 261f
8a9c, 7861
b7f3, f332
e1cc, 1d66
a855, ba9a
abac, f37e
90be, 02a2
d757, 8d6d
6739, 28c8
49e3, bf85
349e, 9382
4de0, 7481
a12a, 76c1
772d, 5736
37f9, 3dfd
1d60, 1617
f460, 1f1b
117e, d816
fc0a, 62ee
de66, d2d8
5add, c523
1bde, fe9d
771c, d88f
d290, b601
e1d2, 4fef
35b0, 4a83
08fc, 0b63
b8fa, c940
0ab6, f7da
a771, ed91
69de, 9e9a
6570, f65c
4a4b, d35e
3790, c212
8903, df5f
98c9, 6e08
c122, 6523
7958, e814
e447, f3d3
4916, a994
5c72, 65cb
