1f1d, 4f10
0a64, 3e33
31d2, bb38
4eaf, 10da
2df7, f78d
080b, abcd
7ede, 6ec9
149c, 959b
b61e, acb5
0006, 03ac
1e00, f17f
8b4a, 6342
170f, 4c1f
73ca, 4c29
595e, 5a58
1199, 7ce2
e0a1, 30b4
e31a, dc80
4c16, e4ac
1846, c982
5a1a, 2a8f
e8ad, 41fc
b539, 62a1
a84a, 335b
86c9, 9ff8
fe41, 4e49
4560, 5947
55fa, 5034
0213, 7ca0
4ce9, 4c61
eee1, 3351
eea9, ae3e
4f48, 370f
a9bf, d362
b039, f035
2031, 093c
5874, 500c
7859, 0e82
093f, e9a2
d461, 41e2
c804, 5fd8
7119, 6c2f
dfcc, 814a
b589, 165e
9159, 41b7
1f0b, e50d
3f78, 5472
92f9, 240f
236a, c3ca
ca95, 2d61
85f5, 3a1c
5ee9, 8e39
094f, d4db
0b33, 03dd
ad69, a8f1
6d6e, b4ce
2fe2, a059
d259, e8bb
dc14, 06ef
a7d4, e97d
d7c1, dc41
e97f, 946e
11a3, 138e
2c88, 2a55
2fdc, 71c6
1fa3, d8e1
3749, d565
670c, bc1e
3533, 74dc
5926, 9463
9c1f, 17f2
054d, 5490
7a1a, 25ce
bec8, e73b
a047, aa23
bd5a, 0054
25e4, e1f0
e725, fdb1
9a3c, 5075
44c1, 9274
6449, 7902
82c7, 3c42
0bcd, 21bf
8b4d, 5d9d
1dfd, fd9b
eede, ab17
4eae, 2723
1469, 94e9
0df0, b6fc
4ab0, 6dce
ba97, 27ad
5c8e, 0810
b2ab, 02a0
5ffc, 9f3d
18e5, 901a
07cf, 2e90
23d1, 8ff7
8780, 2f81
2304, ab0a
f55a, 4254
22cb, 06ce
3089, 8659
3d91, 8f27
f9d3, 59d3
dbc0, 7aa2
b202, 9a5e
2cde, 196b
4e65, f35e
b559, 09b7
d5e7, 6149
d2bd, 115d
ea57, 2a37
5479, e72f
aa85, d426
4874, c256
71ae, 7f33
33d5, bbdb
bea7, 0eb7
c802, 4371
a76f, a064
25e4, e1f0
055d, 54e3
dc0f, 2af2
c1ab, 5e79
d17d, 9e3d
2ae3, 17e8
73d2, 2748
6202, f5ec
0626, e49b
1ce8, 109f
3277, e47a
6d7b, affa
55d2, 25a2
fcde, f993
4d1b, 6a9f
19e3, 2a58
5839, 8e82
bb63, beb8
d1a9, 5db5
d20c, 3ee4
4231, f52e
72f0, f8fc
42ce, f982
bf0b, 82d5
e530, 3b7e
dd19, ea66
fedc, 6b86
b139, 15f2
e42e, aab7
e1bb, 4b89
4001, 23a7
12ba, 82ba
ac95, a92b
895d, 67b8
316c, b6f5
f959, c5e4
a999, 8e0f
dec1, 947c
8bfa, 9a12
e144, 2870
5b9c, 3d19
a700, 6a7c
53ac, ce77
308e, 405a
4fb4, 327e
6e5e, 9047
db3c, e14d
e187, 1747
aae5, da69
5c93, 20c0
646e, 4291
3be7, 9d90
5e8e, 9b9a
7055, 26bf
9b02, 1aea
34a1, 4ded
7d3a, 6637
02a0, b2ab
4c99, b367
7b62, 3111
ad68, f5b2
bbde, 1b6a
5115, d936
fa8f, b5ff
2c81, e1fb
f9c0, a8da
5fc8, f016
cf8e, 22a5
9177, 3139
2ba0, 2bbb
4742, b58d
9707, 6137
94d6, 1286
af2d, 4fcb
98e3, a718
70bd, cd71
b0f9, 1bba
fb11, 1cdc
46ca, 9014
7a33, aed6
7043, 2701
d4c3, 1d19
e8ee, 7e12
514c, b784
9026, f099
6e35, 80de
0ca6, ac79
2b41, a341
f733, 12e8
6d70, f51d
29ea, d487
6159, 1be5
e943, 1f23
8bba, 5ba7
6f4b, f400
badd, 021e
577e, c9a6
6f43, b9ff
0a27, a6cb
08d1, b3da
4334, f03a
40f6, e3ce
9905, 6375
e4c1, 3a0f
a18a, 298a
e2e1, afb5
7877, 52ac
de76, 432f
4ef8, f0f0
9203, deef
f8bd, 77d4
c800, 72f4
5d0b, eb94
46a2, fb70
fd0e, b59f
569e, 6bea
946a, 486c
8bf3, 6d84
b115, 02fb
033b, f0ca
6092, 8bb3
8ad0, c276
8cea, 521c
8b75, 54dd
a931, 0a49
37b5, d3d6
b361, f927
7714, 51f1
d588, 3ec0
027f, 2123
7bc6, 8eac
a22c, d6e6
7079, c7a5
ccdb, 5319
ef24, ef92
616c, 2ba6
8d6e, 6445
64aa, ac99
0837, cf0d
b582, a199
07b4, 1c49
6255, b238
f921, 78b4
ed44, 3e4f
7994, cf8d
ceda, 935e
539a, 0050
e318, a24e
76e4, 560e
3b20, f10b
2b82, 98ee
9004, 1e0a
1c1c, adaa
b50f, 12aa
861b, d5f8
ccb1, deaf
cc22, 020a
602e, c175
9f1f, 3297
46cd, ec98
5cb0, e457
0dfd, bd0b
00ce, 3f75
d5c0, c14b
0347, ee26
cbf1, 278c
08f4, a6aa
fcdf, 2f6d
a990, 7a7a
8575, 90f4
e752, 7ae5
ca24, de2e
4aad, 148f
736b, 2eb7
dbdd, db6c
c366, d66a
a582, 0a03
022f, 99ef
a3f7, 176e
f79a, 261c
02c3, 3d65
067b, 5968
80a6, cf08
6073, 8862
f0b7, 9b66
a198, cd59
f17c, a6d4
d69e, 2003
79c9, 4939
9a02, a477
8dc8, e79f
c6f7, 3e62
1e2e, e7fe
b24f, 074f
e656, 5d86
699e, 9697
79ea, ca82
ed43, bb0c
4a61, d4ba
85f1, 4424
cacc, e4fd
e14e, b91d
7c39, cb8e
dd10, b1f6
3240, f9df
2b98, 5d57
fe6d, 7261
da5f, 1ab6
0c16, b122
a2da, e964
1002, f37a
370f, 4f48
213e, 41ee
ad19, 3f66
88e1, 2a1b
ee52, 0310
9363, d4df
9dd5, 98ba
5b31, 64c4
4673, 3849
1638, 7582
eb76, be21
7dc7, e295
a4dc, e4bc
58df, 25ab
ba74, d8ce
e281, 97fa
99df, 44b2
2c43, 3620
1946, c7f6
853c, 5d12
1388, 4e72
17d2, 6223
815e, 758d
fe60, 79d7
