8200, 4093
903c, f360
1165, 15de
20b7, 8787
7118, 8a2d
5ee8, 23ef
23a3, 2734
e57c, c4ab
95e2, a1d8
ebc5, e893
764e, 734d
98df, 3f8d
c6c6, cbc2
b257, ba4e
76c0, c268
1fba, 86e0
5f92, 6602
4ab9, 4782
f6a9, 5787
f3d2, 6ed3
5683, 53dc
f64b, 902d
d06c, 2c67
5252, 5c69
36fc, 632c
9438, 3673
d895, 3ce4
c23d, 0608
cbb5, 2db0
01a8, d3dd
5459, e8d4
47cf, 434d
be1c, 17ab
704d, a150
c3cb, a9c1
155b, b84e
7e4b, 7d48
5278, 5234
f86c, 6e0d
03b8, 06bb
723b, b538
05fd, 2583
9c70, f07f
617f, b526
7663, 3923
5ffb, 0b9b
2e53, d9ef
4de1, b86b
de55, d166
7a75, eaa1
344c, 8c20
a651, 39e3
36f6, 3321
fc2b, a646
8448, e118
145d, 4a5a
d122, d449
0cae, e071
dcb2, da66
502b, 21bc
3e52, 406a
3c8e, 3bf6
2686, 8cd4
3fc3, 5300
f619, d9a9
1646, f49c
b07f, d62f
913c, 9c6f
a464, 4429
2632, 5fad
acfa, 124f
323b, 3f79
1faa, 7288
05ec, e7ba
d185, ee7b
4cf3, 431a
799a, 0297
a30c, 4f93
c216, c81e
4957, 4ebe
7fba, 76d1
b235, b533
0342, d81f
7d95, 7e90
6958, b09a
1e04, 1108
b496, b9f2
56f3, a630
8af8, 88eb
d825, 4df5
e497, 8199
31ce, 340e
38ca, d2d8
8f19, 8ec6
a9fe, ab01
ede3, df4d
ffd2, c6d7
4ef4, a7b4
7779, f96b
cfab, 2537
8529, 89f2
d9df, 5a00
a1a8, d7aa
4667, 10a2
a7d4, d03d
8543, 3a6d
1d8b, 1537
c656, c35a
f015, 8112
e908, e1d2
3729, 93c7
bbc7, bd11
1ad2, 98c9
ed85, 3a0a
4d65, 759f
d69e, d427
8456, c592
9d15, 94f6
23af, ea2b
9786, 3bf9
32e0, 3844
07fd, 6240
50a3, a30d
c9d9, cbdc
e526, 99d7
b56e, 1261
fbfd, bb89
f2af, fdad
6cab, 6968
bcd1, 1b59
55eb, 2ef1
a8d2, 7fa8
a06a, af66
